# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
backpackerindian  # yt:yt_UCATa9lVnmTTfxxe_5eL7Ddw
kingdomoffitnessindia  # yt:yt_UCOg9xEyaoxuuVBERi3HVrPA
ruchi_.rajawat  # yt:yt_UCgiWxZL6x7PrezXK5RuIxkw
ashwin.explorer  # yt:yt_UCqSFWAPVRYJCDV9Jdzgd4Ew
cyceducation  # yt:yt_UCI8s85MqHcXw7H8Yite_cMQ
iskconbanga  # yt:yt_UCPXnayBvF7ynbG_I3VOTgIg
vaibhavkadnarofficial  # yt:yt_UCYoUuK_uXILQmvip-6jDZ-A
sandeepvlogs  # yt:yt_UCPMDhcBogBPsrGQWf5qnArg
the_carsio  # yt:yt_UCE7hqLeaoffWs0OWfGZEk-Q
rrrenterprisestrichy16  # yt:yt_UC1Lf5pmrYCFynEbpgV5wGSQ
chennai.circle  # yt:yt_UCb5tgJcB3PGfvY4qVpr6P_Q
curious_harish  # yt:yt_UCofLyWKImmSHboaerI4AwfA
teluguexperiments  # yt:yt_UC0AWhqB48rKFlfmg_evBs3w
chatpattoytv  # yt:yt_UCLW85h0n6VzUwrHk0so4bGw
aarathi_molli6  # yt:yt_UC1Jd0cvv3iR0Q5zBNSUOypA
abhyudaya_mohan  # yt:yt_UCSfxFZFzcpYMbOB3A1rWHAg
tamiltoday  # yt:yt_UCw7z4OnyeKjFSATYX8D5aCQ
tech_kannada  # yt:yt_UCzxUIZjHGHkt-D-mvCNMWzw
rehaancubes  # yt:yt_UCYgbV6on5Z-jlxb_4swUUcw
unbeatable_culture  # yt:yt_UC1gVb9-zg2cRQhR4WAHjG4A
cookwithparul  # yt:yt_UClfidxoNRvDO361TM5rw64Q
setsinthecity.in  # yt:yt_UCTLZ1jlmY-VogpQXng48iKQ
badge_99  # yt:yt_UCPhZzHKo3Y5YYoazMQWuLTg
swethasurendravlogs  # yt:yt_UCgXqP8xy5yqYXoym54jBhgw
transit_bites  # yt:yt_UCo8m48sD5KnnJMKbckbtpyQ
anasharovasingh  # yt:yt_UCuvJpYB5Og6-6SPkeyNAGTQ
totalgaming_official  # yt:yt_UC5c9VlYTSvBSCaoMu_GI6gQ
vizagcouple23  # yt:yt_UCP-nR0akINfeEkiURTK9R1A
sahu_original  # yt:yt_UCzLKlc6VfmJJGCu2eivhXyw
youkannada  # yt:yt_UC6kDhr0hIrw3ep2cUM2OetQ
